id,area,name,depends_on,collab_depends_match,handlers,scope_count
intent-analyst,craft-workshop,需求分析员工,,True,"llm_md,echo",2
java-payment-bridge-officer,modstore-backend,Java 支付桥接员,"modstore-backend-api,payment-billing-reconciler",True,"llm_md,echo",3
legacy-archive-curator,server-and-ops,工作区归档管理员,retention-officer,True,"llm_md,echo",5
log-monitor-incident,server-and-ops,日志监控与事故响应员,test-qa-runner,True,"llm_md,echo,shell_exec",19
market-frontend-dev,modstore-frontend,市场前端开发员,"modstore-backend-api,workbench-ux-stylist",True,"llm_md,echo",18
marketing-site-builder,site-and-marketing,营销站点构建员,"site-content-editor,seo-sitemap-curator",True,"llm_md,echo",1
miniapp-builder,craft-workshop,小程序员工,quality-validator,True,"llm_md,echo",2
mobile-android-release-officer,platform-core,Android 发版员,"test-qa-runner,deploy-release-officer",True,"llm_md,echo",4
mobile-ios-release-officer,platform-core,iOS 发版员,"deploy-release-officer,mobile-android-release-officer",True,"llm_md,echo",3
mods-and-eskill-curator,platform-core,Mods/ESkill 策展员,employee-pack-curator,True,"llm_md,echo",6
modstore-backend-api,modstore-backend,MODstore 后端 API 员,"test-qa-runner,log-monitor-incident,deploy-release-officer,dbops-engineer",True,"llm_md,echo",22
nginx-config-engineer,server-and-ops,Nginx 配置工程师,security-secrets-guard,True,"llm_md,echo,shell_exec",8
pack-registrar,craft-workshop,打包登记员工,workflow-automator,True,"llm_md,echo",2
payment-billing-reconciler,modstore-backend,支付账单对账员,security-secrets-guard,True,"llm_md,echo",12
push-update-context-officer,server-and-ops,推送更新员工,deploy-release-officer,True,"llm_md,echo,shell_exec",13
quality-validator,craft-workshop,质检员工,artifact-generator,True,"llm_md,echo",2
retention-officer,server-and-ops,档案清理员,log-monitor-incident,True,"llm_md,echo,shell_exec",37
sandbox-tester,craft-workshop,测试员工,pack-registrar,True,"llm_md,echo",2
script-binder,craft-workshop,配置绑定员工,miniapp-builder,True,"llm_md,echo",2
security-secrets-guard,server-and-ops,安全密钥守卫,,True,"llm_md,echo,shell_exec",16
self-checker,craft-workshop,自检员工,code-validator,True,"llm_md,echo",2
seo-sitemap-curator,site-and-marketing,SEO 站点地图管理员,site-content-editor,True,"llm_md,echo",5
site-content-editor,site-and-marketing,静态站内容编辑员,seo-sitemap-curator,True,"llm_md,echo",29
task-router-officer,platform-core,任务派发员,"intake-dispatcher,employee-pack-curator",True,"llm_md,echo,agent",6
test-qa-runner,quality-and-docs,测试质量运行员,"modstore-backend-api,vibe-coding-maintainer,market-frontend-dev,deploy-release-officer",True,"llm_md,echo",17
user-customer-service-officer,platform-core,用户客服员工,intake-dispatcher,True,"llm_md,echo",4
vibe-coding-maintainer,platform-core,Vibe-Coding 维护员,,True,"vibe_edit,direct_python,agent,llm_md,echo",14
workbench-ux-stylist,modstore-frontend,工作台 UX 设计员,market-frontend-dev,True,"llm_md,echo",6
workflow-automator,craft-workshop,流程自动化员工,script-binder,True,"llm_md,echo",2
xcagi-host-foundation-employee,,宿主基础能力（预装员工）,,True,,0
